province,region,hosp_class,hosp_name,beds_usable,beds_approved,beds_surgical_usable,beds_surgical_approved,surgeons_qualified,surgeons_unqualified,theatres,hosp_contact,hosp_type,last_update_day,last_updated_month,last_updated_year,source,source_name,source_surname,source_email,source_phone
GP,Ekurhuleni MM,Independent,Actonville/Sunshine Hospital,200,,5,,,,5,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Life,Life Bedford Gardens Private Hospital,140,,31,,,,6,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Independent,Birchmed Surgical Centre,21,,21,,,,3,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Clinix,Clinix Private Hospital Vosloorus/ Botshelong-Empilweni,104,,40,,,,3,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Netcare,Clinton Clinic Netcare Hospital,165,,99,,,,5,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Life,Life Dalview Clinic Hospital,75,,27,,,,4,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Netcare,East Rand N17 Private netcare Hospital,171,,70,,,,5,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Independent,Arwyp Medical Centre,343,,131,,,,11,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Independent,Lakeview Hospital,71,,34,,,,7,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Life,Life Glynwood Hospital,292,,112,,,,10,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Netcare,Netcare Linmed Hospital,172,,51,,,,6,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Life,Life Roseacres Clinic Hospital,124,,31,,,,4,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Life,Life Springs Parkland Clinic Hospital,205,,81,,,,5,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Life,Life St Mary's Women's Clinic Hospital,37,,6,,,,2,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Independent,Sunshine Hospital,200,,61,,,,5,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Independent,Mercidoc Day Clinic,20,,20,,,,2,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Netcare,Netcare Sunward Park Hospital,214,,87,,,,7,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Ekurhuleni MM,Netcare,Netcare Union Hospital,222,,138,,,,7,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
GP,Johannesburg MM,Lenmed,Daxima Medical Clinic,64,,20,,,,2,,private,,3,2016,https://figshare.com/articles/SURGICAL_RESOURCES_latestmarch2016_xlsx/12066711,Angela,Dell,angelajdell@gmail.com,
