lat,long,name,place_id,osm_type,osm_id,ref,lat.1,lon,lat_min,lat_max,lon_min,lon_max,address29,city,country,country_code,county,neighbourhood,postcode,road,state,suburb,pharmacy,hospital,village,town,clinic,atm,cafe,house_number,residential,doctors,dentist,mall,building,commercial,house,fuel,convenience,pedestrian,supermarket,school,community_centre,alcohol,fast_food,clothes,parking,museum,retail,place_of_worship,path,bank,beauty,address26,restaurant,laundry,bar,chemist,university,hairdresser,shopping_centre,industrial,hardware,library,footway,golf_course,garden_centre,post_office,guest_house,veterinary,books,optician,computer,doityourself,travel_agency,sports_centre,farmyard,city_district,zoo,courthouse,hifi,dry_cleaning,butcher,electronics,theme_park
18.842010936054436,-33.978144641086885,"Stellenbosch Square, Webersvallei Road, De Vleie, Stellenbosch Ward 21, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7613, South Africa",125867571,way,171207730,Stellenbosch Square,-33.97769915000001,18.842224498521837,-33.9788744,-33.9764411,18.84129,18.843693,Stellenbosch Square,Stellenbosch Local Municipality,South Africa,za,Cape Winelands District Municipality,De Vleie,7613,Webersvallei Road,Western Cape,Stellenbosch Ward 21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.152235367021063,-26.160838418713496,"Dunvegan Avenue, Ekurhuleni Ward 19, City of Ekurhuleni Metropolitan Municipality, Gauteng, 1609, South Africa",92443105,way,24874471,Dunvegan Avenue,-26.16078955265288,28.1523132542985,-26.1614586,-26.1552081,28.1490876,28.1527748,NA,NA,South Africa,za,City of Ekurhuleni Metropolitan Municipality,NA,1609,Dunvegan Avenue,Gauteng,Ekurhuleni Ward 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27.926969959033215,-26.104410021625853,"Link, Woodpecker Avenue, Johannesburg Ward 126, Roodepoort, City of Johannesburg Metropolitan Municipality, Gauteng, 2169, South Africa",3455717,node,373386337,Link,-26.10441,27.92697,-26.10451,-26.10431,27.92687,27.92707,NA,Roodepoort,South Africa,za,City of Johannesburg Metropolitan Municipality,NA,2169,Woodpecker Avenue,Gauteng,Johannesburg Ward 126,Link,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.037883083760764,-23.926324697617183,"Maphutha Malatji Hospital, R71, Ba-Phalaborwa Ward 3, Ben A, Mopani District Municipality, Limpopo, South Africa",191185956,way,476903672,Maphutha Malatji Hospital,-23.9255293,31.037876905614652,-23.9282061,-23.9243468,31.0356523,31.0408274,NA,NA,South Africa,za,Mopani District Municipality,NA,NA,R71,Limpopo,Ba-Phalaborwa Ward 3,NA,Maphutha Malatji Hospital,Ben A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.506135493840958,-33.86543499924157,"Milnerton Medi-Clinic, Graaff Avenue, Milnerton, City of Cape Town, Western Cape, 2251, South Africa",235274568,relation,3103077,Milnerton Medi-Clinic,-33.86549155,18.50622695475661,-33.8668144,-33.864047,18.5039379,18.5083047,NA,NA,South Africa,za,City of Cape Town,NA,2251,Graaff Avenue,Western Cape,Milnerton,NA,Milnerton Medi-Clinic,NA,Milnerton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.26699996617768,-25.76763001361789,"Ringpharm, North Village Lane, Tshwane Ward 82, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0102, South Africa",939324,node,292558722,Ringpharm,-25.76763,28.267,-25.76773,-25.76753,28.2669,28.2671,NA,Pretoria,South Africa,za,City of Tshwane Metropolitan Municipality,NA,0102,North Village Lane,Gauteng,Tshwane Ward 82,Ringpharm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.11319616442426,-30.712236473514956,"Manu de Pico Hospital, R58, Umsobomvu Ward 4, Umsobomvu Local Municipality, Pixley ka Seme District Municipality, Northern Cape, 9795, South Africa",222260513,way,682232295,Manu de Pico Hospital,-30.71191745,25.11309444545394,-30.713195,-30.7113317,25.1123267,25.1142096,NA,Umsobomvu Local Municipality,South Africa,za,Pixley ka Seme District Municipality,NA,9795,R58,Northern Cape,Umsobomvu Ward 4,NA,Manu de Pico Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.58500606877125,-33.93772493864631,"Adriaanse Clinic, Seboa Street, Cape Town Ward 28, Elsiesriver, City of Cape Town, Western Cape, 7493, South Africa",166812355,way,336895066,Adriaanse Clinic,-33.9377249,18.58500610761834,-33.9378968,-33.937553,18.5848023,18.5852099,NA,NA,South Africa,za,City of Cape Town,NA,7493,Seboa Street,Western Cape,Cape Town Ward 28,NA,NA,NA,Elsiesriver,Adriaanse Clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.190727257907582,-25.922651045016615,"Midstream Clinic, Nantes Street, Ekurhuleni Ward 1, City of Ekurhuleni Metropolitan Municipality, Gauteng, 1683, South Africa",140942545,way,225491681,Midstream Clinic,-25.9226704,28.19077137593886,-25.923175,-25.9221588,28.1901254,28.1912506,NA,NA,South Africa,za,City of Ekurhuleni Metropolitan Municipality,NA,1683,Nantes Street,Gauteng,Ekurhuleni Ward 1,NA,Midstream Clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27.98275697289,-26.033960460728593,"FNB, Platina Street, Johannesburg Ward 115, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2068, South Africa",1289786,node,305771168,FNB,-26.0340452,27.9827523,-26.0341452,-26.0339452,27.9826523,27.9828523,NA,Randburg,South Africa,za,City of Johannesburg Metropolitan Municipality,NA,2068,Platina Street,Gauteng,Johannesburg Ward 115,NA,NA,NA,NA,NA,FNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
